M,d,h,m,s,host,src,port,dst,port,protocol,num,if,recv,pkts,bytes,send,pkts,bytes,
Sep,11,15,55,48,vps172160149,172.16.0.153,138,172.16.0.255,138,udp,17,eth0,recv,1,229,send,0,0,
Sep,11,15,55,58,vps172160149,172.16.0.105,137,172.16.0.255,137,udp,17,eth0,recv,1,78,send,0,0,
Sep,11,15,56,15,vps172160149,172.16.0.55,4513,255.255.255.255,9200,udp,17,eth0,recv,1,33,send,0,0,
Sep,11,15,56,16,vps172160149,172.16.0.56,138,172.16.0.255,138,udp,17,eth0,recv,1,229,send,0,0,
Sep,11,15,56,32,vps172160149,172.16.0.45,138,172.16.0.255,138,udp,17,eth0,recv,1,229,send,0,0,
Sep,11,15,56,33,vps172160149,172.16.0.123,5353,224.0.0.251,5353,udp,17,eth0,recv,18,2441,send,0,0,
Sep,11,15,56,33,vps172160149,10.10.1.46,5353,224.0.0.251,5353,udp,17,eth0,recv,18,2429,send,0,0,
Sep,11,15,56,45,vps172160149,172.16.0.55,4534,255.255.255.255,9200,udp,17,eth0,recv,1,33,send,0,0,
Sep,11,15,56,50,vps172160149,172.16.0.158,137,172.16.0.255,137,udp,17,eth0,recv,1,78,send,0,0,
Sep,11,15,56,54,vps172160149,172.16.0.35,138,172.16.0.255,138,udp,17,eth0,recv,1,229,send,0,0,
Sep,11,15,56,54,vps172160149,172.16.0.153,138,172.16.0.255,138,udp,17,eth0,recv,3,606,send,0,0,
Sep,11,15,56,56,vps172160149,172.16.0.153,137,172.16.0.255,137,udp,17,eth0,recv,9,702,send,0,0,
